0.000, 1; 0,-4
0.171, 1; 0,1
0.343, 1; 0,-4
0.514, 1; 0,3
0.686, 1; 0,-4
0.857, 1; 0,1
1.029, 1; 0,-4
1.200, 1; 0,3
1.372, 1; 0,-4
1.543, 1; 0,1
1.715, 1; 0,-4
1.886, 1; 0,3
2.058, 1; 0,-4
2.229, 1; 0,1
2.401, 1; 0,-4
2.572, 1; 0,3
2.744, 1; 2,4
2.915, 1; 0,-1
3.087, 1; 0,4
3.258, 1; 0,-3
3.430, 1; 0,4
3.601, 1; 0,-1
3.773, 1; 0,4
3.944, 1; 0,-3
4.116, 1; 0,4
4.287, 1; 0,-1
4.459, 1; 0,4
4.630, 1; 0,-3
4.802, 1; 0,4
4.973, 1; 0,-1
5.145, 1; 0,4
5.316, 1; 0,-3
5.487, 1; 2,-4
5.658, 1; 0,2
5.830, 1; 0,-4
6.001, 1; 0,5
6.173, 1; 0,-4
6.344, 1; 0,2
6.516, 1; 0,-4
6.687, 1; 0,5
6.859, 1; 0,-4
7.030, 1; 0,2
7.202, 1; 0,-4
7.373, 1; 0,5
7.545, 1; 0,-4
7.716, 1; 0,2
7.888, 1; 0,-4
8.059, 1; 0,5
8.230, 2; 0,-5 / 0,5
8.388, 2; 1,5 / 1,-5
8.416, 2; 1,5 / 1,-5
8.444, 2; 1,5 / 1,-5
8.472, 2; 1,5 / 1,-5
8.500, 2; 1,5 / 1,-5
8.528, 2; 1,5 / 1,-5
8.556, 2; 1,5 / 1,-5
8.584, 2; 1,5 / 1,-5
8.755, 2; 1,5 / 1,-5
8.783, 2; 1,5 / 1,-5
8.811, 2; 1,5 / 1,-5
8.839, 2; 1,5 / 1,-5
8.867, 2; 1,5 / 1,-5
8.895, 2; 1,5 / 1,-5
8.923, 2; 1,5 / 1,-5
8.951, 2; 1,5 / 1,-5
9.294, 2; 2,4 / 2,-4
9.465, 2; 2,6 / 2,-6
9.636, 2; 1,6 / 1,-6
9.677, 2; 1,5.84615 / 1,-5.84615
9.718, 2; 1,5.6923 / 1,-5.6923
9.759, 2; 1,5.53846 / 1,-5.53846
9.800, 2; 1,5.38461 / 1,-5.38461
9.841, 2; 1,5.23077 / 1,-5.23077
9.882, 2; 1,5.07692 / 1,-5.07692
9.923, 2; 1,4.92308 / 1,-4.92308
9.964, 2; 1,4.76923 / 1,-4.76923
10.005, 2; 1,4.61538 / 1,-4.61538
10.046, 2; 1,4.46153 / 1,-4.46153
10.087, 2; 1,4.30769 / 1,-4.30769
10.128, 2; 1,4.15384 / 1,-4.15384
10.169, 2; 1,4 / 1,-4
10.210, 2; 1,3.84615 / 1,-3.84615
10.251, 2; 1,3.6923 / 1,-3.6923
10.292, 2; 1,3.53846 / 1,-3.53846
10.333, 2; 1,3.38461 / 1,-3.38461
10.374, 2; 1,3.23077 / 1,-3.23077
10.415, 2; 1,3.07692 / 1,-3.07692
10.456, 2; 1,2.92308 / 1,-2.92308
10.497, 2; 1,2.76923 / 1,-2.76923
10.538, 2; 1,2.61538 / 1,-2.61538
10.579, 2; 1,2.46153 / 1,-2.46153
10.620, 2; 1,2.30769 / 1,-2.30769
10.661, 2; 1,2 / 1,-2
10.702, 2; 1,1.84615 / 1,-1.84615
10.743, 2; 1,1.6923 / 1,-1.6923
10.784, 2; 1,1.53846 / 1,-1.53846
10.825, 2; 1,1.38461 / 1,-1.38461
10.866, 2; 1,1.23077 / 1,-1.23077
10.907, 2; 1,1.07692 / 1,-1.07692
10.948, 2; 1,0.92308 / 1,-0.92308
10.989, 2; 1,0.76923 / 1,-0.76923
11.007, 2; 1,0.6923 / 1,-0.69239
11.121, 1; 0,7
11.292, 2; 0,4 / 0,-4
11.464, 1; 0,-7
11.635, 2; 0,4 / 0,-4
11.807, 1; 0,7
11.978, 2; 0,4 / 0,-4
12.150, 1; 0,-7
12.321, 2; 0,4 / 0,-4
12.493, 1; 0,7
12.664, 2; 0,4 / 0,-4
12.836, 1; 0,-7
13.007, 2; 0,4 / 0,-4
13.179, 1; 0,7
13.350, 2; 0,4 / 0,-4
13.522, 1; 0,-7
13.693, 2; 0,0 / 0,-5
13.865, 1; 0,8
14.036, 2; 0,0 / 0,5
14.208, 1; 0,-8
14.379, 2; 0,0 / 0,-5
